district_id,total_none,total_0,total_5,total_10,total_15,total_20,total_25,total_30,total_35,total_40,total_45,total_50,total_55,total_60,total_65,total_70,total_75,total_80,total_85,total_90,total_95,total_100,male_none,male_0,male_5,male_10,male_15,male_20,male_25,male_30,male_35,male_40,male_45,male_50,male_55,male_60,male_65,male_70,male_75,male_80,male_85,male_90,male_95,male_100,female_none,female_0,female_5,female_10,female_15,female_20,female_25,female_30,female_35,female_40,female_45,female_50,female_55,female_60,female_65,female_70,female_75,female_80,female_85,female_90,female_95,female_100
85,324,80084,83035,91291,92184,91183,80970,68949,63093,53572,45090,35854,28375,33678,18907,14022,8072,6608,2683,1554,544,260,195,44763,46345,51004,50541,46855,41888,35064,32622,27531,23344,18584,14268,16177,9449,6610,3813,2986,1280,665,233,118,129,35321,36690,40287,41643,44328,39082,33885,30471,26041,21746,17270,14107,17501,9458,7412,4259,3622,1403,889,311,142
86,493,142809,143230,140348,136906,153479,158759,142161,123113,92575,70252,54138,42466,42350,27179,19674,10555,7640,3255,1848,699,503,276,77629,79041,77843,77231,83840,83403,75510,66384,51037,38273,28528,21147,20643,13941,9888,5384,3693,1562,856,343,238,217,65180,64189,62505,59675,69639,75356,66651,56729,41538,31979,25610,21319,21707,13238,9786,5171,3947,1693,992,356,265
87,729,174987,174052,160185,117902,93889,69915,56654,52633,43918,33711,25528,20272,25498,15802,10899,5365,4152,1469,1009,408,286,394,91540,92113,86053,63285,49309,36664,28320,26644,23196,17621,13713,9482,12673,8059,5786,2680,2079,719,504,187,141,335,83447,81939,74132,54617,44580,33251,28334,25989,20722,16090,11815,10790,12825,7743,5113,2685,2073,750,505,221,145
88,1784,174566,188037,193985,185941,183097,169976,146586,136115,108868,89749,67430,50587,45359,27231,18485,9385,6408,2955,1670,625,894,949,94350,102528,106285,103417,95954,86977,75110,70887,58575,48392,36914,26645,23861,14513,9730,4828,3239,1403,793,319,441,835,80216,85509,87700,82524,87143,82999,71476,65228,50293,41357,30516,23942,21498,12718,8755,4557,3169,1552,877,306,453
89,563,124058,128810,133527,118857,100067,78870,65073,62084,53307,43579,32837,25310,27242,18214,13612,7015,5440,1999,1309,530,405,306,66260,69330,72750,66686,53912,41768,32827,31737,27642,23017,17764,12678,13311,9104,7021,3522,2715,1028,665,262,192,257,57798,59480,60777,52171,46155,37102,32246,30347,25665,20562,15073,12632,13931,9110,6591,3493,2725,971,644,268,213
90,1469,307414,347124,375025,374987,382984,351057,299952,280538,236781,196153,147333,108294,105858,58706,39977,20534,12664,4900,2769,1345,675,803,164111,187943,204688,210646,206924,185056,156903,147110,126613,106866,80981,56878,53576,30327,20511,10333,6007,2421,1246,697,282,666,143303,159181,170337,164341,176060,166001,143049,133428,110168,89287,66352,51416,52282,28379,19466,10201,6657,2479,1523,648,393
91,363,70645,79761,86043,88499,92874,88779,76867,70718,59201,49715,37796,27369,24808,13979,9686,4917,3222,1403,751,409,173,207,37522,42918,46487,48534,49720,46575,40820,37918,32179,26860,20915,14718,12650,7105,4834,2372,1405,615,344,232,72,156,33123,36843,39556,39965,43154,42204,36047,32800,27022,22855,16881,12651,12158,6874,4852,2545,1817,788,407,177,101
92,2867,207063,230411,246457,250203,245508,213436,176832,162115,134003,108066,77352,56449,59095,31386,20527,8973,5669,2255,1527,723,707,1539,109685,123561,132164,135292,129036,111102,92506,84715,72073,58651,42688,29407,29447,16218,10616,4574,2684,1050,722,354,341,1328,97378,106850,114293,114911,116472,102334,84326,77400,61930,49415,34664,27042,29648,15168,9911,4399,2985,1205,805,369,366
93,1102,134195,147571,156648,160541,175202,174806,151437,136723,113369,95628,75247,56384,51038,31613,22906,12574,7273,2765,1329,587,408,642,71229,80077,85026,88681,93387,90961,79744,71704,60415,50706,40420,29346,25347,15858,11397,6471,3556,1440,607,291,195,460,62966,67494,71622,71860,81815,83845,71693,65019,52954,44922,34827,27038,25691,15755,11509,6103,3717,1325,722,296,213
94,242,8605,10330,12312,14164,16611,14054,11123,11012,11160,10618,8628,6009,2750,1414,1146,764,551,273,147,44,47,130,4542,5469,6565,7914,9528,7791,6097,5780,5812,5923,4978,3876,1594,679,492,311,213,124,72,24,28,112,4063,4861,5747,6250,7083,6263,5026,5232,5348,4695,3650,2133,1156,735,654,453,338,149,75,20,19
