district_id,adi,afghani,anal,angami,ao,arabic,assamese,balti,bengali,bhili,bhotia,bhumij,bishnupuriya,bodo,chakhesang,chakru,chang,coorgi,deori,dimasa,dogri,english,gadaba,gangte,garo,gondi,gujarati,halabi,halam,hindi,hmar,ho,jatapu,juang,kabui,kannada,karbi,kashmiri,khandeshi,kharia,khasi,khezha,khiemnungan,khond,kinnauri,kisan,koch,koda,kolami,kom,konda,konkani,konyak,korku,korwa,koya,kui,kuki,kurukh,ladakhi,lahauli,lahnda,lakher,lalung,lepcha,liangmei,limbu,lotha,lushai,maithili,malayalam,malto,manipuri,mao,maram,marathi,maring,miri,mishmi,mogh,monpa,munda,mundari,nepali,nicobarese,nissi,nocte,odia,others,paite,parji,pawi,phom,pochury,punjabi,rabha,rai,rengma,sangtam,sanskrit,santali,savara,sema,sherpa,shina,sindhi,tamang,tamil,tangkhul,tangsa,telugu,thado,tibetan,tripuri,tulu,urdu,vaiphei,wancho,yimchungre,zeliang,zemi,zou
513,0,0,0,0,0,24,0,0,164,2056,1,0,0,0,0,0,0,0,0,0,8,26,0,0,6,68,2227,0,0,156022,0,8,0,0,0,299,0,6,16,0,0,0,0,0,0,0,1,0,0,0,0,1956,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,9,204,0,0,0,0,1438626,0,0,0,0,0,0,0,56,0,0,0,28,1100,0,0,0,0,0,187,0,0,0,0,14,0,0,0,0,0,1141,0,884,1,0,11097,0,0,0,0,219749,0,0,0,0,0,0
514,0,0,0,0,0,9,2,0,243,2268,0,0,0,0,0,0,0,0,0,0,93,19,0,1,0,137,3121,0,0,257425,0,34,0,0,0,263,0,161,143,0,0,0,0,0,2,0,0,0,0,0,0,613,0,33,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,18,280,0,0,0,0,1492077,0,0,0,0,0,1,0,95,0,0,0,105,954,0,0,0,0,0,585,0,0,0,0,51,3,0,0,0,0,1967,0,1437,0,0,17488,7,0,0,2,179402,0,0,0,0,0,0
515,14,1,0,1,0,124,88,0,2777,9333,1,0,1,4,0,0,0,0,0,0,30,357,0,0,1,558,11596,30,0,520039,0,18,0,0,0,2580,0,77,2952,4,0,0,0,0,0,0,0,5,11,0,0,2422,1,6,0,0,0,0,221,0,0,70,0,0,0,0,0,1,1,261,2351,0,9,0,0,2578334,0,0,1,0,0,10,5,400,0,0,0,645,2061,0,0,0,0,0,4229,0,1,0,0,55,6,1,3,0,0,4305,0,2461,0,0,15599,0,0,0,132,537089,0,0,0,0,0,0
516,3,5,0,3,0,48,935,0,8175,237269,2,0,0,21,0,0,0,2,0,0,147,1437,0,0,2,988,47686,606,0,392645,0,28,0,0,1,5909,0,83,350586,0,5,0,0,1,0,7,0,0,56,5,0,41061,0,21,36,0,0,10,59,0,0,149,0,0,0,0,0,0,26,858,8703,0,144,0,0,4422593,1,0,0,0,0,6,7,3428,0,3,0,2685,4982,0,0,0,1,0,9852,2,0,0,0,442,12,0,0,0,0,14727,1,5141,0,0,22241,0,29,7,832,522473,0,0,0,0,0,0
517,44,11,0,6,3,445,2216,17,114208,260340,12,21,6,96,0,0,3,28,0,0,120,20071,4,0,18,750,514059,705,0,2428915,0,75,0,0,4,130218,0,1336,4775,62,66,8,0,14,5,5,0,12,87,12,6,20363,0,373,7,0,0,14,214,1,6,214,0,0,0,25,9,0,44,18850,142961,0,666,0,0,5870205,0,3,0,9,8,151,91,21570,0,10,0,40701,26460,15,0,0,0,1,55622,1,62,0,0,710,138,23,29,0,2,233748,0,106811,46,7,146669,8,101,29,45465,848923,0,0,0,0,0,0
518,25,22,6,6,23,307,2572,0,100811,5153,41,10,0,28,0,0,0,71,0,12,239,53975,4,4,22,701,1078189,69,0,2767141,8,104,0,0,3,2789,11,1938,2367,71,64,2,0,8,19,0,6,10,0,11,4,152923,0,15,459,0,0,76,522,1,0,168,11,0,9,30,3,7,71,17466,107578,1,983,5,0,3295533,0,1,2,0,0,124,49,20952,0,11,0,42753,12525,18,0,0,0,2,87003,1,11,0,1,556,151,12,17,4,6,165629,0,204392,52,0,130298,9,64,24,57734,1041853,0,1,0,0,0,0
519,16,22,0,0,1,74,957,0,40430,1243,7,0,0,11,0,0,0,35,4,2,159,13989,0,11,7,352,349902,44,3,831401,0,5,0,0,6,1800,0,320,99,33,15,0,0,0,0,0,5,12,0,0,2,42509,0,0,717,0,0,67,216,11,1,43,2,0,0,14,0,2,43,3062,13360,2,276,9,0,1109395,0,1,1,2,0,19,4,5400,0,5,0,9050,4103,20,0,0,0,0,24095,3,1,0,0,109,22,4,4,0,2,44875,7,90377,1,4,72977,31,10,17,6010,417559,0,2,0,0,0,0
520,4,0,0,0,0,10,1736,0,13721,7274,1,2,0,12,0,0,1,4,0,0,34,895,0,0,7,220,23698,83,0,229795,0,30,0,0,13,20860,0,212,493,10,4,0,0,0,0,0,0,0,12,0,0,441,0,33,11,0,0,0,136,0,0,110,0,0,0,0,0,0,9,1921,19107,0,171,0,1,2108846,0,7,4,0,0,26,39,2831,0,2,0,6046,3750,5,0,0,0,0,9082,0,4,0,0,32,40,0,3,0,0,2861,9,8716,12,3,14245,0,5,1,2189,154318,3,0,0,0,50,0
521,24,82,2,7,11,288,2500,0,42158,14868,17,4,0,95,1,7,8,30,0,7,187,11114,0,0,33,300,108778,242,6,1163455,0,36,0,0,21,131919,4,2268,2939,49,65,7,0,3,4,13,1,2,38,5,3,9081,0,130,14,0,0,24,124,1,2,21,18,0,0,5,3,3,152,2499,50125,2,942,0,7,7370731,0,2,8,4,0,110,48,13244,0,5,0,18749,7056,18,12,0,0,0,32181,10,13,0,0,1091,149,0,12,1,1,43376,41,54713,38,0,159185,12,73,10,5775,177953,8,0,10,0,15,0
522,2,0,0,2,3,32,221,0,1929,9332,0,0,0,12,0,0,0,0,0,3,190,200,0,0,0,1396,11511,134,0,270231,1,13,0,0,0,2429,4,28,2180,1,0,0,0,0,0,0,0,0,3,0,0,1922,0,10,26,0,0,0,3,0,0,81,0,0,0,0,0,1,2,109,1681,0,89,0,0,4038214,0,0,0,0,0,4,0,1056,0,0,0,565,1134,0,0,0,0,0,7757,2,0,0,0,13,26,4,0,1,0,6898,0,2948,0,0,56385,0,0,1,106,124264,0,0,0,0,0,0
