district_id,population,males,females,literates,literate_males,literate_females,working,working_males,working_females,non_working,non_working_males,non_working_females
143,3673889,1951996,1721893,2092567,1283380,809187,1174361,929337,245024,2499528,1022659,1476869
144,1564708,836127,728581,942572,579157,363415,484115,398126,85989,1080593,438001,642592
145,2547184,1367125,1180059,1507746,943346,564400,840939,635142,205797,1706245,731983,974262
146,4418797,2364953,2053844,2680510,1614594,1065916,1389844,1119701,270143,3028953,1245252,1783701
147,2498156,1332046,1166110,1521806,912314,609492,761521,621840,139681,1736635,710206,1026429
148,1868529,993377,875152,1203885,712110,491775,560840,466067,94773,1307689,527310,780379
149,3681896,1967759,1714137,1547477,986501,560976,1107343,939616,167727,2574553,1028143,1546410
150,4448359,2357665,2090694,2191759,1342697,849062,1401971,1153006,248965,3046388,1204659,1841729
151,2031007,1072002,959005,1061095,654290,406805,618605,534939,83666,1412402,537063,875339
152,3006538,1606403,1400135,1490930,915142,575788,892214,783313,108901,2114324,823090,1291234
153,4021243,2123187,1898056,2034044,1237157,796887,1264718,1058483,206235,2756525,1064704,1691821
154,4483992,2375264,2108728,2283733,1397702,886031,1422602,1171252,251350,3061390,1204012,1857378
155,4092845,2191442,1901403,2221601,1374587,847014,1318946,1091952,226994,2773899,1099490,1674409
156,3108367,1630087,1478280,1773584,1053063,720521,1124744,851014,273730,1983623,779073,1204550
157,4589838,2394476,2195362,3127260,1742440,1384820,1542806,1226399,316407,3047032,1168077,1878955
158,3405559,1752542,1653017,1965843,1165965,799878,1204710,867393,337317,2200849,885149,1315700
159,1885204,1006240,878964,1092677,654827,437850,592267,494545,97722,1292937,511695,781242
160,1656616,881776,774840,1017087,603596,413491,524676,430934,93742,1131940,450842,681098
161,1581810,845856,735954,1062003,623583,438420,506072,413713,92359,1075738,432143,643595
162,1379545,740040,639505,930836,546198,384638,442023,364543,77480,937522,375497,562025
163,1796184,963255,832929,1170243,692964,477279,628864,493991,134873,1167320,469264,698056
